Time, Lateral Acceleration, Lateral Velocity, Yaw Rate, FyF, FyR, FzF, FzR, aSlipF, aSlipR
0.00, 3.8550, 0.0074, 0.0079, 3257.2367, 20.1204, 4463.3230, 4725.8714, -1.0812, -1.0812
0.00, 3.8143, 0.0108, 0.0117, 3202.4151, 40.3633, 4463.3230, 4725.8714, -1.0630, -1.0630
0.00, 3.7758, 0.0140, 0.0154, 3149.2864, 60.7165, 4463.3230, 4725.8714, -1.0454, -1.0454
0.00, 3.7393, 0.0172, 0.0190, 3097.8069, 81.1679, 4463.3230, 4725.8714, -1.0283, -1.0283
0.01, 3.7048, 0.0201, 0.0225, 3047.9338, 101.7062, 4463.3230, 4725.8714, -1.0117, -1.0117
0.01, 3.6722, 0.0229, 0.0260, 2999.6254, 122.3202, 4463.3230, 4725.8714, -0.9957, -0.9957
0.01, 3.6415, 0.0256, 0.0294, 2952.8411, 142.9991, 4463.3230, 4725.8714, -0.9802, -0.9802
0.01, 3.6126, 0.0281, 0.0327, 2907.5410, 163.7326, 4463.3230, 4725.8714, -0.9651, -0.9651
0.01, 3.5855, 0.0305, 0.0359, 2863.6863, 184.5108, 4463.3230, 4725.8714, -0.9506, -0.9506
0.01, 3.5601, 0.0327, 0.0391, 2821.2391, 205.3241, 4463.3230, 4725.8714, -0.9365, -0.9365
0.01, 3.5363, 0.0349, 0.0421, 2780.1624, 226.1632, 4463.3230, 4725.8714, -0.9229, -0.9229
0.01, 3.5140, 0.0369, 0.0451, 2740.4199, 247.0191, 4463.3230, 4725.8714, -0.9097, -0.9097
0.01, 3.4934, 0.0388, 0.0481, 2701.9766, 267.8833, 4463.3230, 4725.8714, -0.8969, -0.8969
0.01, 3.4742, 0.0406, 0.0510, 2664.7978, 288.7476, 4463.3230, 4725.8714, -0.8846, -0.8846
0.02, 3.4564, 0.0422, 0.0538, 2628.8500, 309.6039, 4463.3230, 4725.8714, -0.8726, -0.8726
