Time, Position, Velocity, Acceleration
0.00, 0.0200, 0.2000, 2.0000
0.10, 0.0598, 0.3980, 2.0000
0.20, 0.1192, 0.5940, 2.0000
0.30, 0.1980, 0.7881, 2.0000
0.40, 0.2960, 0.9802, 2.0000
0.50, 0.4131, 1.1704, 2.0000
0.60, 0.5489, 1.3587, 2.0000
0.70, 0.7034, 1.5451, 2.0000
0.80, 0.8764, 1.7297, 2.0000
0.90, 1.0677, 1.9124, 2.0000
1.00, 1.2770, 2.0932, 2.0000
1.10, 1.5042, 2.2723, 2.0000
1.20, 1.7492, 2.4496, 2.0000
1.30, 2.0117, 2.6251, 2.0000
1.40, 2.2916, 2.7988, 2.0000
1.50, 2.5886, 2.9708, 2.0000
1.60, 2.9028, 3.1411, 2.0000
1.70, 3.2337, 3.3097, 2.0000
1.80, 3.5814, 3.4766, 2.0000
1.90, 3.9456, 3.6419, 2.0000
2.00, 4.2961, 3.5054, -1.0000
2.10, 4.6332, 3.3704, -1.0000
2.20, 4.9568, 3.2367, -1.0000
2.30, 5.2673, 3.1043, -1.0000
2.40, 5.5646, 2.9733, -1.0000
2.50, 5.8489, 2.8435, -1.0000
2.60, 6.1204, 2.7151, -1.0000
2.70, 6.3792, 2.5880, -1.0000
2.80, 6.6255, 2.4621, -1.0000
2.90, 6.8592, 2.3375, -1.0000
3.00, 7.0806, 2.2141, -1.0000
3.10, 7.2898, 2.0919, -1.0000
3.20, 7.4869, 1.9710, -1.0000
3.30, 7.6720, 1.8513, -1.0000
3.40, 7.8453, 1.7328, -1.0000
3.50, 8.0069, 1.6155, -1.0000
3.60, 8.1568, 1.4993, -1.0000
3.70, 8.2952, 1.3843, -1.0000
3.80, 8.4223, 1.2705, -1.0000
3.90, 8.5380, 1.1578, -1.0000
4.00, 8.6427, 1.0462, -1.0000
4.10, 8.7362, 0.9357, -1.0000
4.20, 8.8189, 0.8264, -1.0000
4.30, 8.8907, 0.7181, -1.0000
4.40, 8.9518, 0.6109, -1.0000
4.50, 9.0023, 0.5048, -1.0000
4.60, 9.0422, 0.3998, -1.0000
4.70, 9.0718, 0.2958, -1.0000
4.80, 9.0911, 0.1928, -1.0000
4.90, 9.1002, 0.0909, -1.0000
5.00, 9.0992, -0.0100, -1.0000
